city,lng,lat,count
北京,116.39564503787867,39.92998577808024,840
成都,104.06792346330406,30.679942845419564,291
重庆,106.53063501341296,29.54460610888615,261
昆明,102.71460113878045,25.049153100453157,238
潍坊,119.14263382297052,36.71611487305138,214
济南,117.02496706629023,36.68278472716141,212
天津,117.21081309155257,39.143929903310074,211
西安,125.15014857862096,42.98636494637781,193
乌鲁木齐,87.56498774111579,43.84038034721766,187
淄博,118.05913427786938,36.80468485421204,175
郑州,113.64964384986449,34.756610064140254,174
兰州,103.8233054407292,36.06422552504259,170
广州,113.30764967515182,23.12004910207623,151
哈尔滨,126.65771685544611,45.7732246332393,149
太原,112.5508635890553,37.89027705396754,148
烟台,121.30955503008511,37.53656156285964,146
青岛,120.38442818368189,36.10521490127382,143
长沙,112.9793527876505,28.21347823085322,134
南宁,108.29723355586638,22.80649293560261,123
贵阳,106.7091770961758,26.62990674144093,114
石家庄,114.52208184420766,38.048958314615454,113
合肥,117.28269909168304,31.86694226068694,107
泰安,117.08941491713698,36.18807775894815,103
南昌,115.89352754583604,28.689578000141147,95
杭州,120.2193754157201,30.259244461536102,81
呼和浩特,111.6603505200542,40.828318873081585,77
东营,118.61264305187912,37.408666288041196,75
临沂,118.34076823661057,35.07240907439113,73
武汉,114.31620010268132,30.58108412692075,73
长春,125.31364242720072,43.89833760709784,67
大连,121.59347778143518,38.94870993830429,66
包头,109.84623853249181,40.64711942570857,64
拉萨,91.11189089598402,29.662557062056536,63
信阳,114.0854909934702,32.128582307511664,59
沈阳,123.43279092160505,41.808644783515746,57
赤峰,118.9307611921676,42.297112320317325,56
衡水,115.68622865290865,37.74692904585666,55
威海,122.09395836580605,37.52878708125143,54
德州,116.32816136356094,37.46082592630501,54
曲阜,117.03178985127641,35.61576056625757,53
上海,121.48789948569473,31.24916171001514,52
银川,106.2064786078384,38.50262101187604,48
阜阳,115.82093225904637,32.90121133056961,48
驻马店,114.04915354745555,32.98315815409348,48
宜昌,111.31098109196083,30.73275781802591,47
厦门,118.10388604566381,24.489230612469232,47
福州,119.33022110712668,26.04712549657293,46
南京,118.77807440802562,32.05723550180587,45
菏泽,115.46335977452752,35.26244049607468,44
南阳,112.5428419005123,33.0114195691165,44
西宁,101.76792098980276,36.640738611957964,42
邯郸,114.4826939323422,36.60930792847117,41
日照,119.50717994299387,35.42022519314436,41
赣州,114.9359090792838,25.84529553634676,41
聊城,115.98686913929107,36.455828514727976,40
九江,115.99984802155373,29.71963952612237,40
邢台,114.52048681294414,37.069531196911996,39
张家口,114.89378153032918,40.81118849110306,39
柳州,109.42240181015114,24.329053352467223,39
荆州,112.09985718064648,30.396103360852894,38
枣庄,117.27930538329689,34.80788307838604,38
保定,115.49481016907626,38.88656454802744,37
唐山,118.18345059773411,39.6505309225366,37
安庆,117.0587387721073,30.537897817381097,36
天水,105.73693162285642,34.58431941886869,36
晋城,112.86733275750684,35.49983446722556,36
绵阳,104.70551897529307,31.50470125806144,36
周口,114.65410194229541,33.62374081814082,35
宝鸡,107.17064545238307,34.36408080974784,35
沧州,116.86380647644208,38.297615350325714,34
无锡,120.30545590053595,31.57003745192303,34
安阳,114.35180650767198,36.1102667221811,34
新乡,113.91269016082377,35.3072575576613,33
荣成,122.40692581531741,37.128686091876,33
滨州,117.96829241452845,37.405313941825895,32
鹤壁,114.29776983802476,35.75542587422399,32
汉中,107.04547762872542,33.08156897815767,32
丹东,124.33854311476908,40.1290228266375,31
洛阳,112.44752476895121,34.65736781765111,30
深圳,114.0259736573215,22.546053546205247,30
常州,119.98186101345706,31.771396744684242,30
承德,117.93382245583847,40.992521052457136,30
徐州,117.18810662317686,34.27155343109188,30
延吉,129.47130153101367,43.05966660114006,29
阿克苏,81.15601314780744,40.349444301112534,29
吉林,126.56454398883335,43.87198833435933,28
桂林,110.26092014748276,25.262901245955238,28
遵义,106.93126031648453,27.699961377076246,27
宁波,121.57900597258933,29.885258965918055,27
广元,105.81968693999652,32.441040158428244,27
伊宁,81.2890480714925,44.020355819309486,27
大同,124.6990773926766,46.07005100166291,26
牡丹江,129.608035395637,44.58852115278252,26
南通,120.87380095093022,32.014664540823446,25
扬州,119.42777755116975,32.40850525456844,25
玉林,110.15167631614493,22.643973608377276,25
海拉尔,120.04288208342074,49.27924545620167,24
海口,110.3308018483363,20.022071276952243,24
岳阳,113.14619551911636,29.378007075474304,23
安康,109.03804456347515,32.70437044999437,23
武威,102.64014734336779,37.933172142905626,23
许昌,113.8353124597886,34.026739588655204,23
蓟县,117.44115922145824,40.00961366062446,23
佳木斯,130.28473458595482,46.813779604740354,23
运城,111.00685365308033,35.03885947981193,22
郴州,113.03770446779562,25.782263975738925,22
温州,120.6906347337091,28.002837594041246,21
绍兴,120.59246738555154,30.00236458052847,21
滕州,117.14761619529622,35.06579087186232,21
万州,108.41343863669852,30.71005418436643,21
苏州,120.61990711548988,31.317987367952437,21
廊坊,116.70360222263986,39.51861062508462,21
衢州,118.87584165150854,28.95691044753569,21
吉安,114.99203871092017,27.113847650157084,21
武昌,114.35362228468497,30.56486029278519,20
青州,118.47018708791366,36.68058442583128,20
定州,115.0574069523237,38.46583915804824,20
余姚,121.15277918828542,29.99645671901067,20
衡阳,112.58381881071617,26.89816441535812,19
襄阳,112.25009284837394,32.22916859153757,19
库尔勒,85.70941760173511,41.705499905673676,19
大庆,125.02183973021087,46.596709020007594,19
达州,107.49497344658866,31.214198858944734,19
曲靖,103.78253888802674,25.520758142870502,19
临汾,111.53878759640808,36.09974544358536,19
盘锦,122.07322781023007,41.14124802295616,19
蚌埠,117.35707986587582,32.92949890669797,19
恩施,109.517432662322,30.30897851129638,18
泰州,119.91960601619071,32.47605327483028,18
淮安,119.31329513263806,33.52834896694177,18
文登,121.96829072765755,37.166083447280435,18
漯河,114.04606140022909,33.57627868848315,18
锦州,121.14774873823639,41.13087887591732,18
金华,119.65257570368145,29.10289910539069,17
义乌,120.06729564866686,29.30644391183944,17
铜仁,109.16855802826001,27.674902690624183,17
宜宾,104.63301906152529,28.76967479626591,17
潢川,115.16440991805027,32.132798426221996,17
长治,113.12029208572514,36.20166438574343,17
怀化,109.9869587958539,27.557482901172786,17
咸阳,108.70750927819563,34.34537299599856,16
葫芦岛,120.86075764475588,40.743029881317504,16
湖州,120.13724316328172,30.877925155690896,16
齐齐哈尔,123.9872889421725,47.34769981336638,16
大理,100.21920895421849,25.693966622473024,16
商丘,115.64188568785016,34.43858864024636,16
西昌,102.11788786037536,27.863377395840185,16
武清,117.0345779137272,39.457042575494015,16
